Format Version,1.23,Take Name,State02_GVT_001,Take Notes,,Capture Frame Rate,240.000000,Export Frame Rate,240.000000,Capture Start Time,2020-08-16 12.46.10.427 PM,Total Frames in Take,4857,Total Exported Frames,4857,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Main_Beam:01,Main_Beam:01,Main_Beam:01,Main_Beam:02,Main_Beam:02,Main_Beam:02,Main_Beam:03,Main_Beam:03,Main_Beam:03,Main_Beam:04,Main_Beam:04,Main_Beam:04,Main_Beam:05,Main_Beam:05,Main_Beam:05,Main_Beam:06,Main_Beam:06,Main_Beam:06,Main_Beam:07,Main_Beam:07,Main_Beam:07,Main_Beam:08,Main_Beam:08,Main_Beam:08,Main_Beam:09,Main_Beam:09,Main_Beam:09,Main_Beam:10,Main_Beam:10,Main_Beam:10,Main_Beam:11,Main_Beam:11,Main_Beam:11,Rear_Beam:01,Rear_Beam:01,Rear_Beam:01,Rear_Beam:02,Rear_Beam:02,Rear_Beam:02,Rear_Beam:03,Rear_Beam:03,Rear_Beam:03,Rear_Beam:04,Rear_Beam:04,Rear_Beam:04,Rear_Beam:05,Rear_Beam:05,Rear_Beam:05,Rear_Beam:06,Rear_Beam:06,Rear_Beam:06,Rear_Beam:07,Rear_Beam:07,Rear_Beam:07,Rear_Beam:08,Rear_Beam:08,Rear_Beam:08,Rear_Beam:09,Rear_Beam:09,Rear_Beam:09,Rear_Beam:10,Rear_Beam:10,Rear_Beam:10,Rear_Beam:11,Rear_Beam:11,Rear_Beam:11,Ref:1,Ref:1,Ref:1,Unlabeled 1075,Unlabeled 1075,Unlabeled 1075,Unlabeled 1076,Unlabeled 1076,Unlabeled 1076,Unlabeled 1079,Unlabeled 1079,Unlabeled 1079,Unlabeled 1080,Unlabeled 1080,Unlabeled 1080,Unlabeled 1082,Unlabeled 1082,Unlabeled 1082,Unlabeled 1083,Unlabeled 1083,Unlabeled 1083,Unlabeled 1086,Unlabeled 1086,Unlabeled 1086,Unlabeled 1088,Unlabeled 1088,Unlabeled 1088,Unlabeled 1089,Unlabeled 1089,Unlabeled 1089,Unlabeled 1093,Unlabeled 1093,Unlabeled 1093,Unlabeled 1096,Unlabeled 1096,Unlabeled 1096,Unlabeled 1097,Unlabeled 1097,Unlabeled 1097,Unlabeled 1098,Unlabeled 1098,Unlabeled 1098,Unlabeled 1099,Unlabeled 1099,Unlabeled 1099,Unlabeled 1100,Unlabeled 1100,Unlabeled 1100,Unlabeled 1102,Unlabeled 1102,Unlabeled 1102,Unlabeled 1104,Unlabeled 1104,Unlabeled 1104,Unlabeled 1105,Unlabeled 1105,Unlabeled 1105,Unlabeled 1106,Unlabeled 1106,Unlabeled 1106,Unlabeled 1110,Unlabeled 1110,Unlabeled 1110,Unlabeled 1113,Unlabeled 1113,Unlabeled 1113,Unlabeled 1114,Unlabeled 1114,Unlabeled 1114,Unlabeled 1115,Unlabeled 1115,Unlabeled 1115,Unlabeled 1116,Unlabeled 1116,Unlabeled 1116,Unlabeled 1118,Unlabeled 1118,Unlabeled 1118,Unlabeled 1119,Unlabeled 1119,Unlabeled 1119,Unlabeled 1120,Unlabeled 1120,Unlabeled 1120,Unlabeled 1121,Unlabeled 1121,Unlabeled 1121,Unlabeled 1122,Unlabeled 1122,Unlabeled 1122,Unlabeled 1123,Unlabeled 1123,Unlabeled 1123
,ID,"BD0DCB9ADFA511EAEDD8ABBDB2285CA3","BD0DCB9ADFA511EAEDD8ABBDB2285CA3","BD0DCB9ADFA511EAEDD8ABBDB2285CA3","C3E3F23DDFA511EAEDD8ABBDB2285CA3","C3E3F23DDFA511EAEDD8ABBDB2285CA3","C3E3F23DDFA511EAEDD8ABBDB2285CA3","C3E3F23EDFA511EAEDD8ABBDB2285CA3","C3E3F23EDFA511EAEDD8ABBDB2285CA3","C3E3F23EDFA511EAEDD8ABBDB2285CA3","C3E3F23FDFA511EAEDD8ABBDB2285CA3","C3E3F23FDFA511EAEDD8ABBDB2285CA3","C3E3F23FDFA511EAEDD8ABBDB2285CA3","CA3213A7DFA511EAEDD8ABBDB2285CA3","CA3213A7DFA511EAEDD8ABBDB2285CA3","CA3213A7DFA511EAEDD8ABBDB2285CA3","CA3213A8DFA511EAEDD8ABBDB2285CA3","CA3213A8DFA511EAEDD8ABBDB2285CA3","CA3213A8DFA511EAEDD8ABBDB2285CA3","CA3213A9DFA511EAEDD8ABBDB2285CA3","CA3213A9DFA511EAEDD8ABBDB2285CA3","CA3213A9DFA511EAEDD8ABBDB2285CA3","D0963DEDDFA511EAEDD8ABBDB2285CA3","D0963DEDDFA511EAEDD8ABBDB2285CA3","D0963DEDDFA511EAEDD8ABBDB2285CA3","D0963DEEDFA511EAEDD8ABBDB2285CA3","D0963DEEDFA511EAEDD8ABBDB2285CA3","D0963DEEDFA511EAEDD8ABBDB2285CA3","D0963DEFDFA511EAEDD8ABBDB2285CA3","D0963DEFDFA511EAEDD8ABBDB2285CA3","D0963DEFDFA511EAEDD8ABBDB2285CA3","D7CE0780DFA511EAEDD8ABBDB2285CA3","D7CE0780DFA511EAEDD8ABBDB2285CA3","D7CE0780DFA511EAEDD8ABBDB2285CA3","DE3FC360DFA511EAEDD8ABBDB2285CA3","DE3FC360DFA511EAEDD8ABBDB2285CA3","DE3FC360DFA511EAEDD8ABBDB2285CA3","DE3FC361DFA511EAEDD8ABBDB2285CA3","DE3FC361DFA511EAEDD8ABBDB2285CA3","DE3FC361DFA511EAEDD8ABBDB2285CA3","DE3FC362DFA511EAEDD8ABBDB2285CA3","DE3FC362DFA511EAEDD8ABBDB2285CA3","DE3FC362DFA511EAEDD8ABBDB2285CA3","E72B2D0ADFA511EAEDD8ABBDB2285CA3","E72B2D0ADFA511EAEDD8ABBDB2285CA3","E72B2D0ADFA511EAEDD8ABBDB2285CA3","E72B2D0BDFA511EAEDD8ABBDB2285CA3","E72B2D0BDFA511EAEDD8ABBDB2285CA3","E72B2D0BDFA511EAEDD8ABBDB2285CA3","E72B2D0CDFA511EAEDD8ABBDB2285CA3","E72B2D0CDFA511EAEDD8ABBDB2285CA3","E72B2D0CDFA511EAEDD8ABBDB2285CA3","EF201736DFA511EAEDD8ABBDB2285CA3","EF201736DFA511EAEDD8ABBDB2285CA3","EF201736DFA511EAEDD8ABBDB2285CA3","EF201737DFA511EAEDD8ABBDB2285CA3","EF201737DFA511EAEDD8ABBDB2285CA3","EF201737DFA511EAEDD8ABBDB2285CA3","EF201738DFA511EAEDD8ABBDB2285CA3","EF201738DFA511EAEDD8ABBDB2285CA3","EF201738DFA511EAEDD8ABBDB2285CA3","F7159DC6DFA511EAEDD8ABBDB2285CA3","F7159DC6DFA511EAEDD8ABBDB2285CA3","F7159DC6DFA511EAEDD8ABBDB2285CA3","F7159DC7DFA511EAEDD8ABBDB2285CA3","F7159DC7DFA511EAEDD8ABBDB2285CA3","F7159DC7DFA511EAEDD8ABBDB2285CA3","D7CE0781DFA511EAEDD8ABBDB2285CA3","D7CE0781DFA511EAEDD8ABBDB2285CA3","D7CE0781DFA511EAEDD8ABBDB2285CA3","DB690","DB690","DB690","DB6A0","DB6A0","DB6A0","DB6D0","DB6D0","DB6D0","DB6E0","DB6E0","DB6E0","DB700","DB700","DB700","DB710","DB710","DB710","DB740","DB740","DB740","DB760","DB760","DB760","DB770","DB770","DB770","DB7B0","DB7B0","DB7B0","DB7E0","DB7E0","DB7E0","DB7F0","DB7F0","DB7F0","DB810","DB810","DB810","DB820","DB820","DB820","DB800","DB800","DB800","DB840","DB840","DB840","DB860","DB860","DB860","DB870","DB870","DB870","DB880","DB880","DB880","DB8C0","DB8C0","DB8C0","DB8F0","DB8F0","DB8F0","DB900","DB900","DB900","DB910","DB910","DB910","DB920","DB920","DB920","DB940","DB940","DB940","DB950","DB950","DB950","DB960","DB960","DB960","DB970","DB970","DB970","DB980","DB980","DB980","DB990","DB990","DB990"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.280021,0.217862,-0.182259,-0.279997,0.217872,-0.123661,-0.279959,0.217032,-0.062631,-0.279139,0.215685,-0.003008,-0.278566,0.214340,0.062084,-0.278303,0.212922,0.118840,-0.278074,0.210531,0.179863,-0.277949,0.208141,0.237894,-0.277323,0.205180,0.300445,-0.276366,0.201671,0.357617,-0.278562,0.199935,0.402022,-0.237155,0.216555,-0.190153,-0.236723,0.216733,-0.127815,-0.235928,0.216129,-0.070251,-0.235949,0.214824,-0.006105,-0.235201,0.213431,0.054429,-0.235100,0.211934,0.115453,-0.235502,0.209219,0.184819,-0.234878,0.207708,0.227769,-0.235316,0.204955,0.293390,-0.234181,0.201748,0.352623,-0.233146,0.198753,0.405891,-0.255566,0.270147,-0.220252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.004167,-0.280043,0.217867,-0.182238,-0.280006,0.217905,-0.123627,-0.279978,0.217041,-0.062616,-0.279154,0.215703,-0.002995,-0.278600,0.214329,0.062073,-0.278331,0.212934,0.118839,-0.278097,0.210563,0.179882,-0.277962,0.208146,0.237903,-0.277343,0.205202,0.300458,-0.276385,0.201677,0.357625,-0.278583,0.199942,0.402020,-0.237122,0.216584,-0.190124,-0.236749,0.216732,-0.127815,-0.235954,0.216143,-0.070237,-0.235962,0.214836,-0.006083,-0.235212,0.213447,0.054433,-0.235118,0.211940,0.115454,-0.235507,0.209227,0.184823,-0.234903,0.207705,0.227771,-0.235346,0.204966,0.293391,-0.234200,0.201768,0.352628,-0.233162,0.198760,0.405895,-0.255582,0.270154,-0.220252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.008333,-0.280026,0.217836,-0.182267,-0.279991,0.217858,-0.123640,-0.279961,0.217029,-0.062603,-0.279128,0.215661,-0.003014,-0.278579,0.214323,0.062087,-0.278311,0.212891,0.118828,-0.278082,0.210504,0.179861,-0.277953,0.208139,0.237896,-0.277321,0.205169,0.300451,-0.276364,0.201674,0.357620,-0.278575,0.199914,0.402033,-0.237090,0.216591,-0.190110,-0.236720,0.216715,-0.127795,-0.235943,0.216102,-0.070244,-0.235944,0.214816,-0.006085,-0.235199,0.213413,0.054423,-0.235115,0.211913,0.115448,-0.235501,0.209204,0.184823,-0.234876,0.207688,0.227758,-0.235317,0.204943,0.293385,-0.234184,0.201741,0.352627,-0.233101,0.198637,0.405815,-0.255523,0.270069,-0.220282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.012500,-0.279992,0.217766,-0.182317,-0.279973,0.217799,-0.123655,-0.279943,0.216987,-0.062610,-0.279116,0.215590,-0.003026,-0.278546,0.214241,0.062062,-0.278298,0.212865,0.118831,-0.278062,0.210471,0.179842,-0.277948,0.208075,0.237884,-0.277311,0.205135,0.300451,-0.276359,0.201621,0.357611,-0.278553,0.199877,0.402039,-0.237127,0.216507,-0.190173,-0.236711,0.216635,-0.127817,-0.235918,0.216024,-0.070282,-0.235935,0.214761,-0.006100,-0.235175,0.213340,0.054404,-0.235087,0.211839,0.115421,-0.235492,0.209178,0.184817,-0.234866,0.207634,0.227744,-0.235299,0.204866,0.293376,-0.234156,0.201681,0.352619,-0.233071,0.198584,0.405805,-0.255504,0.270010,-0.220305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.016667,-0.280009,0.217792,-0.182284,-0.279982,0.217818,-0.123647,-0.279959,0.217009,-0.062612,-0.279131,0.215612,-0.003002,-0.278568,0.214267,0.062071,-0.278312,0.212866,0.118828,-0.278081,0.210466,0.179848,-0.277956,0.208086,0.237889,-0.277304,0.205148,0.300456,-0.276375,0.201619,0.357615,-0.278535,0.199850,0.402080,-0.237124,0.216536,-0.190154,-0.236712,0.216672,-0.127811,-0.235917,0.216039,-0.070275,-0.235936,0.214772,-0.006083,-0.235189,0.213357,0.054405,-0.235102,0.211874,0.115438,-0.235498,0.209177,0.184812,-0.234869,0.207646,0.227760,-0.235308,0.204875,0.293374,-0.234163,0.201703,0.352623,-0.233093,0.198601,0.405813,-0.255508,0.270035,-0.220290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.020833,-0.280030,0.217889,-0.182237,-0.279979,0.217912,-0.123630,-0.279971,0.217039,-0.062625,-0.279153,0.215683,-0.002978,-0.278584,0.214332,0.062092,-0.278304,0.212924,0.118851,-0.278094,0.210523,0.179866,-0.277969,0.208127,0.237893,-0.277311,0.205180,0.300476,-0.276375,0.201661,0.357640,-0.278550,0.199898,0.402093,-0.237079,0.216610,-0.190115,-0.236734,0.216743,-0.127801,-0.235939,0.216125,-0.070253,-0.235955,0.214831,-0.006071,-0.235209,0.213424,0.054417,-0.235111,0.211934,0.115455,-0.235494,0.209225,0.184825,-0.234880,0.207707,0.227766,-0.235319,0.204953,0.293397,-0.234182,0.201756,0.352649,-0.233150,0.198752,0.405915,-0.255554,0.270160,-0.220248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
