"ID","CSys ID","X","Y","Z","6..Simcenter NASTRAN Case 1, 2..T1 Translation"
1,0,0.00073948,0.,-0.004286,0.
2,0,0.0044091,0.,-0.006009,0.
3,0,0.008281,0.,-0.00717,0.
4,0,0.0122628,0.,-0.007933,0.
5,0,0.0162841,0.,-0.008446,0.
6,0,0.021,0.,-0.008771,0.
7,0,0.0243764,0.,-0.008985,0.
8,0,0.0284301,0.,-0.009026,0.
9,0,0.0324846,0.,-0.008933,0.
10,0,0.036537,0.,-0.008773,0.
11,0,0.0405835,0.,-0.008523,0.
12,0,0.0446254,0.,-0.008201,0.
13,0,0.048664,0.,-0.007833,0.
14,0,0.0526968,0.,-0.007407,0.
15,0,0.0567238,0.,-0.006926,0.
16,0,0.0607458,0.,-0.006401,0.
17,0,0.0647633,0.,-0.005842,0.
18,0,0.0687771,0.,-0.005258,0.
19,0,0.0727865,0.,-0.00465,0.
20,0,0.076789,0.,-0.004,0.
21,0,0.0807851,0.,-0.003311,0.
22,0,0.0847751,0.,-0.002586,0.
23,0,0.0887598,0.,-0.001831,0.
24,0,0.0927395,0.,-0.001049,0.
25,0,0.0927445,0.004,-0.001049,0.000136722
26,0,0.0927496,0.008,-0.001049,0.000218856
27,0,0.0927547,0.012,-0.001049,0.00027848
28,0,0.0927598,0.016,-0.001049,0.000312444
29,0,0.0927648,0.02,-0.001049,0.00031824
30,0,0.0927699,0.024,-0.001049,0.000288408
31,0,0.092775,0.028,-0.001049,0.000229292
32,0,0.09278,0.032,-0.001049,0.00017077
33,0,0.0927851,0.036,-0.001049,0.000172246
34,0,0.0927902,0.04,-0.001049,0.000319782
35,0,0.0927952,0.044,-0.001049,0.000710132
36,0,0.0928003,0.048,-0.001049,0.00140716
37,0,0.0928054,0.052,-0.001049,0.00231423
38,0,0.0928105,0.056,-0.001049,0.00359071
39,0,0.0928155,0.06,-0.001049,0.00463668
40,0,0.0928206,0.064,-0.001048,0.00536711
41,0,0.0928257,0.068,-0.001048,0.00608152
42,0,0.0928307,0.072,-0.001048,0.00664949
43,0,0.0928358,0.076,-0.001048,0.0070636
44,0,0.0928409,0.08,-0.001048,0.00725082
45,0,0.0928459,0.084,-0.001048,0.0072782
46,0,0.092851,0.088,-0.001048,0.00719813
47,0,0.0928561,0.092,-0.001048,0.00709477
48,0,0.0928612,0.096,-0.001048,0.00706703
49,0,0.0928662,0.1,-0.001048,0.00724221
50,0,0.0928713,0.104,-0.001048,0.00775999
51,0,0.0928764,0.108,-0.001048,0.00874384
52,0,0.0928814,0.112,-0.001048,0.0102049
53,0,0.0928865,0.116,-0.001048,0.0118267
54,0,0.0928916,0.12,-0.001048,0.0129883
55,0,0.0928967,0.124,-0.001048,0.013859
56,0,0.0929017,0.128,-0.001048,0.014886
57,0,0.0929068,0.132,-0.001048,0.0158313
58,0,0.0929119,0.136,-0.001047,0.0165409
59,0,0.0929169,0.14,-0.001047,0.0170247
60,0,0.092922,0.144,-0.001047,0.0173365
61,0,0.0929271,0.148,-0.001047,0.0175421
62,0,0.0929321,0.152,-0.001047,0.0177203
63,0,0.0929372,0.156,-0.001047,0.0179548
64,0,0.0929423,0.16,-0.001047,0.0183437
65,0,0.0929474,0.164,-0.001047,0.0189875
66,0,0.0929524,0.168,-0.001047,0.0199718
67,0,0.0929575,0.172,-0.001047,0.021293
68,0,0.0929626,0.176,-0.001047,0.0227102
69,0,0.0929676,0.18,-0.001047,0.0238637
70,0,0.0929727,0.184,-0.001047,0.0248648
71,0,0.0929778,0.188,-0.001047,0.0260512
72,0,0.0929828,0.192,-0.001047,0.0271514
73,0,0.0929879,0.196,-0.001047,0.0280043
74,0,0.092993,0.2,-0.001047,0.028612
75,0,0.0929981,0.204,-0.001046,0.0290301
76,0,0.0930031,0.208,-0.001046,0.0293385
77,0,0.0930082,0.212,-0.001046,0.0296231
78,0,0.0930133,0.216,-0.001046,0.0299736
79,0,0.0930183,0.22,-0.001046,0.0304887
80,0,0.0930234,0.224,-0.001046,0.0312624
81,0,0.0930285,0.228,-0.001046,0.0323711
82,0,0.0930335,0.232,-0.001046,0.0338022
83,0,0.0930386,0.236,-0.001046,0.0353218
84,0,0.0930437,0.24,-0.001046,0.0365909
85,0,0.0930488,0.244,-0.001046,0.0377574
86,0,0.0930538,0.248,-0.001046,0.0391687
87,0,0.0930589,0.252,-0.001046,0.0405193
88,0,0.093064,0.256,-0.001046,0.0416264
89,0,0.093069,0.26,-0.001046,0.0424764
90,0,0.0930741,0.264,-0.001046,0.0431138
91,0,0.0930792,0.268,-0.001046,0.0436078
92,0,0.0930842,0.272,-0.001046,0.0440372
93,0,0.0930893,0.276,-0.001045,0.0444854
94,0,0.0930944,0.28,-0.001045,0.0450379
95,0,0.0930995,0.284,-0.001045,0.0457811
96,0,0.0931045,0.288,-0.001045,0.0467864
145,0,0.0927547,0.06,0.0010324,0.00467838
146,0,0.090943,0.06,0.0015475,0.00467758
147,0,0.0884713,0.06,0.0020251,0.00467411
148,0,0.0863726,0.06,0.0024194,0.00465738
149,0,0.0836566,0.06,0.0029157,0.0046346
150,0,0.0817435,0.06,0.0032563,0.00461803
151,0,0.0768878,0.06,0.0040957,0.00454082
152,0,0.0722288,0.06,0.0048461,0.00445284
153,0,0.066,0.06,0.0058402,0.00433953
154,0,0.0626032,0.06,0.0062427,0.00431103
155,0,0.0589591,0.06,0.0067309,0.00427704
156,0,0.0538281,0.06,0.0073374,0.00423034
157,0,0.0484017,0.06,0.0079219,0.00417531
158,0,0.0406055,0.06,0.0085275,0.00407808
159,0,0.0321594,0.06,0.008955,0.00397166
160,0,0.0274985,0.06,0.0090312,0.00392573
161,0,0.0237366,0.06,0.0089197,0.00389956
162,0,0.021,0.06,0.0087705,0.00387915
163,0,0.0169356,0.06,0.0084825,0.00388158
164,0,0.0147235,0.06,0.0082023,0.00391703
165,0,0.010165,0.06,0.0074072,0.00400442
166,0,0.0060064,0.06,0.0063118,0.00410904
167,0,0.0035666,0.06,0.0053819,0.00419109
168,0,0.00081046,0.06,0.0042695,0.00428558
169,0,0.00085102,0.06,-0.004285,0.00499364
170,0,0.003876,0.06,-0.005501,0.00510259
171,0,0.0060232,0.06,-0.006335,0.005194
172,0,0.0078113,0.06,-0.006886,0.00525982
173,0,0.0112559,0.06,-0.007624,0.00533935
174,0,0.0168253,0.06,-0.008414,0.00543002
175,0,0.021,0.06,-0.008771,0.0054283
176,0,0.0261895,0.06,-0.009011,0.00538971
177,0,0.0298833,0.06,-0.009013,0.00536054
178,0,0.0358947,0.06,-0.008827,0.0053113
179,0,0.0403149,0.06,-0.008582,0.00525055
180,0,0.0463609,0.06,-0.008106,0.0051628
181,0,0.0507418,0.06,-0.007679,0.00510674
182,0,0.0567684,0.06,-0.006999,0.00503275
183,0,0.0605457,0.06,-0.006524,0.00498221
184,0,0.066,0.06,-0.00584,0.00492376
185,0,0.0692809,0.06,-0.005287,0.00486558
186,0,0.0736826,0.06,-0.004619,0.00480025
187,0,0.078357,0.06,-0.003846,0.00475446
188,0,0.0828786,0.06,-0.003054,0.0047034
189,0,0.0857301,0.06,-0.002537,0.00467008
190,0,0.0882791,0.06,-0.002062,0.00465354
191,0,0.0902988,0.06,-0.001674,0.00464564
192,0,0.,0.3,0.,0.0501695
196,0,0.0931096,0.292,-0.001045,0.0480575
207,0,0.0931147,0.296,-0.001045,0.0494345
245,0,0.0927547,0.12,0.0010324,0.0128468
246,0,0.090943,0.12,0.0015475,0.0128002
247,0,0.0884713,0.12,0.0020251,0.0127543
248,0,0.0863726,0.12,0.0024194,0.012704
249,0,0.0836566,0.12,0.0029157,0.0126399
250,0,0.0817435,0.12,0.0032563,0.0125957
251,0,0.0768878,0.12,0.0040957,0.0124542
252,0,0.0722288,0.12,0.0048461,0.0123052
253,0,0.066,0.12,0.0058402,0.0120926
254,0,0.0626032,0.12,0.0062427,0.0120127
255,0,0.0589591,0.12,0.0067309,0.0119159
256,0,0.0538281,0.12,0.0073374,0.0117846
257,0,0.0484017,0.12,0.0079219,0.0116416
258,0,0.0406055,0.12,0.0085275,0.0114672
259,0,0.0321594,0.12,0.008955,0.0113274
260,0,0.0274985,0.12,0.0090312,0.0112845
261,0,0.0237366,0.12,0.0089197,0.011279
262,0,0.021,0.12,0.0087705,0.0112809
263,0,0.0169356,0.12,0.0084825,0.0113124
264,0,0.0147235,0.12,0.0082023,0.0113733
265,0,0.010165,0.12,0.0074072,0.0115372
266,0,0.0060064,0.12,0.0063118,0.0117501
267,0,0.0035666,0.12,0.0053819,0.0119242
268,0,0.00088651,0.12,0.0042704,0.0121282
269,0,0.00085102,0.12,-0.004285,0.0136795
270,0,0.003876,0.12,-0.005501,0.0139086
271,0,0.0060232,0.12,-0.006335,0.0140788
272,0,0.0078113,0.12,-0.006886,0.0141962
273,0,0.0112559,0.12,-0.007624,0.0143454
274,0,0.0168253,0.12,-0.008414,0.0145076
275,0,0.021,0.12,-0.008771,0.0145411
276,0,0.0261895,0.12,-0.009011,0.0145342
277,0,0.0298833,0.12,-0.009013,0.0145088
278,0,0.0358947,0.12,-0.008827,0.0144408
279,0,0.0403149,0.12,-0.008582,0.0143559
280,0,0.0463609,0.12,-0.008106,0.0142188
281,0,0.0507418,0.12,-0.007679,0.0141104
282,0,0.0567684,0.12,-0.006999,0.013947
