ID,CSys ID,X,Y,Z,"1..Simcenter NASTRAN Case 1, 2..T1 Translation","1..Simcenter NASTRAN Case 1, 3..T2 Translation","1..Simcenter NASTRAN Case 1, 4..T3 Translation"
1,0,0.00073948,0,-0.004286,0,0,0
2,0,0.0044091,0,-0.006009,0,0,0
3,0,0.008281,0,-0.00717,0,0,0
4,0,0.0122628,0,-0.007933,0,0,0
5,0,0.0162841,0,-0.008446,0,0,0
6,0,0.021,0,-0.008771,0,0,0
7,0,0.0243764,0,-0.008985,0,0,0
8,0,0.0284301,0,-0.009026,0,0,0
9,0,0.0324846,0,-0.008933,0,0,0
10,0,0.036537,0,-0.008773,0,0,0
11,0,0.0405835,0,-0.008523,0,0,0
12,0,0.0446254,0,-0.008201,0,0,0
13,0,0.048664,0,-0.007833,0,0,0
14,0,0.0526968,0,-0.007407,0,0,0
15,0,0.0567238,0,-0.006926,0,0,0
16,0,0.0607458,0,-0.006401,0,0,0
17,0,0.0647633,0,-0.005842,0,0,0
18,0,0.0687771,0,-0.005258,0,0,0
19,0,0.0727865,0,-0.00465,0,0,0
20,0,0.076789,0,-0.004,0,0,0
21,0,0.0807851,0,-0.003311,0,0,0
22,0,0.0847751,0,-0.002586,0,0,0
23,0,0.0887598,0,-0.001831,0,0,0
24,0,0.0927395,0,-0.001049,0,0,0
25,0,0.0927445,0.004,-0.001049,-0.00274765,0.00338614,0.00108995
26,0,0.0927496,0.008,-0.001049,-0.00484242,0.00581969,0.000807352
27,0,0.0927547,0.012,-0.001049,-0.00607306,0.00789699,-0.00527857
28,0,0.0927598,0.016,-0.001049,-0.00570015,0.00972872,-0.0209657
29,0,0.0927648,0.02,-0.001049,-0.0037078,0.0113191,-0.0466548
30,0,0.0927699,0.024,-0.001049,-0.000303052,0.0126567,-0.0811945
31,0,0.092775,0.028,-0.001049,0.00410737,0.0137262,-0.122298
32,0,0.09278,0.032,-0.001049,0.00897901,0.0145152,-0.166871
33,0,0.0927851,0.036,-0.001049,0.0136028,0.0150132,-0.21093
34,0,0.0927902,0.04,-0.001049,0.0170561,0.015208,-0.249374
35,0,0.0927952,0.044,-0.001049,0.0183771,0.0150746,-0.276939
36,0,0.0928003,0.048,-0.001049,0.0165709,0.0145451,-0.288165
37,0,0.0928054,0.052,-0.001049,0.0119289,0.0134485,-0.284362
38,0,0.0928105,0.056,-0.001049,0.00307712,0.0113014,-0.256515
39,0,0.0928155,0.06,-0.001049,-0.00613081,0.0070027,-0.223739
40,0,0.0928206,0.064,-0.001048,-0.0131794,0.0131108,-0.206123
41,0,0.0928257,0.068,-0.001048,-0.01836,0.016533,-0.200053
42,0,0.0928307,0.072,-0.001048,-0.0200522,0.0187396,-0.214146
43,0,0.0928358,0.076,-0.001048,-0.020312,0.0203827,-0.235793
44,0,0.0928409,0.08,-0.001048,-0.017477,0.0216574,-0.273886
45,0,0.0928459,0.084,-0.001048,-0.0122629,0.0226349,-0.324687
46,0,0.092851,0.088,-0.001048,-0.00553251,0.0233316,-0.383675
47,0,0.0928561,0.092,-0.001048,0.00160272,0.0237484,-0.444918
48,0,0.0928612,0.096,-0.001048,0.00801267,0.0238805,-0.502346
49,0,0.0928662,0.1,-0.001048,0.0124521,0.0237181,-0.549286
50,0,0.0928713,0.104,-0.001048,0.0136622,0.0232334,-0.579054
51,0,0.0928764,0.108,-0.001048,0.010545,0.0223487,-0.585756
52,0,0.0928814,0.112,-0.001048,0.0028509,0.0208689,-0.56805
53,0,0.0928865,0.116,-0.001048,-0.00721466,0.0182401,-0.535142
54,0,0.0928916,0.12,-0.001048,-0.0154201,0.0131818,-0.50651
55,0,0.0928967,0.124,-0.001048,-0.0245229,0.0194361,-0.477063
56,0,0.0929017,0.128,-0.001048,-0.0351176,0.0230205,-0.442891
57,0,0.0929068,0.132,-0.001048,-0.0428977,0.0254255,-0.425743
58,0,0.0929119,0.136,-0.001047,-0.0455992,0.0272342,-0.435258
59,0,0.0929169,0.14,-0.001047,-0.0437651,0.0286326,-0.468886
60,0,0.092922,0.144,-0.001047,-0.0386116,0.0296968,-0.520152
61,0,0.0929271,0.148,-0.001047,-0.0314845,0.0304496,-0.581944
62,0,0.0929321,0.152,-0.001047,-0.0237329,0.0308949,-0.647042
63,0,0.0929372,0.156,-0.001047,-0.0165982,0.031028,-0.708743
64,0,0.0929423,0.16,-0.001047,-0.0112892,0.0308386,-0.760492
65,0,0.0929474,0.164,-0.001047,-0.00895415,0.030301,-0.796076
66,0,0.0929524,0.168,-0.001047,-0.0105266,0.0293472,-0.810335
67,0,0.0929575,0.172,-0.001047,-0.0162442,0.0278089,-0.801905
68,0,0.0929626,0.176,-0.001047,-0.0242508,0.0251719,-0.778192
69,0,0.0929676,0.18,-0.001047,-0.0312826,0.0202496,-0.753864
70,0,0.0929727,0.184,-0.001047,-0.0393104,0.0259723,-0.726512
71,0,0.0929778,0.188,-0.001047,-0.0485958,0.029297,-0.695734
72,0,0.0929828,0.192,-0.001047,-0.05592,0.0315847,-0.677645
73,0,0.0929879,0.196,-0.001047,-0.0591389,0.0333605,-0.681543
74,0,0.092993,0.2,-0.001047,-0.0583953,0.0347811,-0.706878
75,0,0.0929981,0.204,-0.001046,-0.0546178,0.0359151,-0.748584
76,0,0.0930031,0.208,-0.001046,-0.0490736,0.0367603,-0.800093
77,0,0.0930082,0.212,-0.001046,-0.0429034,0.037331,-0.855191
78,0,0.0930133,0.216,-0.001046,-0.0371932,0.0376244,-0.907997
79,0,0.0930183,0.22,-0.001046,-0.0330741,0.0376304,-0.952381
80,0,0.0930234,0.224,-0.001046,-0.0316693,0.0373282,-0.982277
81,0,0.0930285,0.228,-0.001046,-0.0339417,0.0366666,-0.992387
82,0,0.0930335,0.232,-0.001046,-0.040285,0.0355249,-0.9807
83,0,0.0930386,0.236,-0.001046,-0.0492718,0.0334507,-0.953143
84,0,0.0930437,0.24,-0.001046,-0.0579159,0.0291485,-0.923936
85,0,0.0930488,0.244,-0.001046,-0.0654896,0.0333027,-0.894248
86,0,0.0930538,0.248,-0.001046,-0.0741413,0.0356278,-0.864103
87,0,0.0930589,0.252,-0.001046,-0.0806674,0.0371315,-0.846807
88,0,0.093064,0.256,-0.001046,-0.0837393,0.0382203,-0.847705
89,0,0.093069,0.26,-0.001046,-0.08365,0.0390294,-0.865167
90,0,0.0930741,0.264,-0.001046,-0.0812092,0.0396213,-0.89479
91,0,0.0930792,0.268,-0.001046,-0.0773636,0.0400246,-0.93154
92,0,0.0930842,0.272,-0.001046,-0.0730603,0.0402536,-0.970383
93,0,0.0930893,0.276,-0.001045,-0.0691922,0.0403227,-1.00646
94,0,0.0930944,0.28,-0.001045,-0.0667253,0.0402121,-1.034915
95,0,0.0930995,0.284,-0.001045,-0.0665086,0.0399194,-1.051159
96,0,0.0931045,0.288,-0.001045,-0.0692674,0.0394076,-1.051332
97,0,0.021,0.048,0,-0.00049737,-0.000737813,0.0358131
98,0,0.021,0.052,0,-0.000635325,-0.000795366,0.0415096
99,0,0.021,0.056,0,-0.000826137,-0.000852567,0.0475312
100,0,0.021,0.06,0,-0.00101763,-0.000908318,0.0538585
101,0,0.0250909,0.06,0,-0.00108708,-0.000589182,0.0370816
102,0,0.0291818,0.06,0,-0.00112953,-0.000315239,0.022725
103,0,0.0332727,0.06,0,-0.00116737,-1.08668E-05,0.0102088
104,0,0.0373636,0.06,0,-0.00119303,0.000317818,-0.0011139
105,0,0.0414545,0.06,0,-0.00120259,0.000661484,-0.0117895
106,0,0.0455455,0.06,0,-0.00119582,0.00100763,-0.0223521
107,0,0.0496364,0.06,0,-0.0011726,0.00134522,-0.0333327
108,0,0.0537273,0.06,0,-0.00113347,0.00165936,-0.045265
109,0,0.0578182,0.06,0,-0.00108929,0.00194619,-0.0586971
110,0,0.0619091,0.06,0,-0.00104977,0.00220913,-0.07427
111,0,0.066,0.06,0,-0.000948798,0.00262632,-0.0926391
112,0,0.066,0.056,0,-0.000807766,0.00248245,-0.0834402
113,0,0.066,0.052,0,-0.000645707,0.00233569,-0.0743062
114,0,0.066,0.048,0,-0.000528658,0.00217532,-0.0653172
115,0,0.0619091,0.048,0,-0.000444638,0.00219177,-0.0514498
116,0,0.0578182,0.048,0,-0.00034971,0.00195932,-0.0400195
117,0,0.0537273,0.048,0,-0.000289555,0.00166994,-0.0306426
118,0,0.0496364,0.048,0,-0.000256264,0.00134726,-0.0227448
119,0,0.0455455,0.048,0,-0.000238936,0.00100958,-0.0157966
120,0,0.0414545,0.048,0,-0.000237012,0.000663635,-0.00926607
121,0,0.0373636,0.048,0,-0.000250611,0.000320171,-0.00262273
122,0,0.0332727,0.048,0,-0.000279952,-1.16635E-05,0.00466574
123,0,0.0291818,0.048,0,-0.000329191,-0.000319356,0.0131333
124,0,0.0250909,0.048,0,-0.00040354,-0.000586048,0.0233726
125,0,0.0250909,0.052,0,-0.000611236,-0.000599642,0.0281373
126,0,0.0250909,0.056,0,-0.000827781,-0.000606499,0.0327335
127,0,0.0291818,0.052,0,-0.000594832,-0.000331084,0.0167144
128,0,0.0291818,0.056,0,-0.000854082,-0.000324901,0.0199102
129,0,0.0332727,0.052,0,-0.00058063,-1.86769E-05,0.00682332
130,0,0.0332727,0.056,0,-0.000868573,-1.86154E-05,0.00867075
131,0,0.0373636,0.052,0,-0.000569142,0.000315256,-0.00193969
132,0,0.0373636,0.056,0,-0.000875428,0.00031457,-0.00143674
