"ID","CSys ID","X","Y","Z","2..Simcenter NASTRAN Case 1, 2..T1 Translation","2..Simcenter NASTRAN Case 1, 3..T2 Translation","2..Simcenter NASTRAN Case 1, 4..T3 Translation"
1,0,0.00073948,0.,-0.004286,0.,0.,0.
2,0,0.0044091,0.,-0.006009,0.,0.,0.
3,0,0.008281,0.,-0.00717,0.,0.,0.
4,0,0.0122628,0.,-0.007933,0.,0.,0.
5,0,0.0162841,0.,-0.008446,0.,0.,0.
6,0,0.021,0.,-0.008771,0.,0.,0.
7,0,0.0243764,0.,-0.008985,0.,0.,0.
8,0,0.0284301,0.,-0.009026,0.,0.,0.
9,0,0.0324846,0.,-0.008933,0.,0.,0.
10,0,0.036537,0.,-0.008773,0.,0.,0.
11,0,0.0405835,0.,-0.008523,0.,0.,0.
12,0,0.0446254,0.,-0.008201,0.,0.,0.
13,0,0.048664,0.,-0.007833,0.,0.,0.
14,0,0.0526968,0.,-0.007407,0.,0.,0.
15,0,0.0567238,0.,-0.006926,0.,0.,0.
16,0,0.0607458,0.,-0.006401,0.,0.,0.
17,0,0.0647633,0.,-0.005842,0.,0.,0.
18,0,0.0687771,0.,-0.005258,0.,0.,0.
19,0,0.0727865,0.,-0.00465,0.,0.,0.
20,0,0.076789,0.,-0.004,0.,0.,0.
21,0,0.0807851,0.,-0.003311,0.,0.,0.
22,0,0.0847751,0.,-0.002586,0.,0.,0.
23,0,0.0887598,0.,-0.001831,0.,0.,0.
24,0,0.0927395,0.,-0.001049,0.,0.,0.
25,0,0.0927445,0.004,-0.001049,-0.000330339,0.000407922,0.000280214
26,0,0.0927496,0.008,-0.001049,-0.000581942,0.000716041,0.000635054
27,0,0.0927547,0.012,-0.001049,-0.000746901,0.00099842,0.000540109
28,0,0.0927598,0.016,-0.001049,-0.000746087,0.00126653,-0.000450526
29,0,0.0927648,0.02,-0.001049,-0.000586993,0.00151921,-0.00235682
30,0,0.0927699,0.024,-0.001049,-0.000298034,0.00175405,-0.00503409
31,0,0.092775,0.028,-0.001049,0.0000773958,0.00196872,-0.00824534
32,0,0.09278,0.032,-0.001049,0.000490771,0.00216153,-0.0117156
33,0,0.0927851,0.036,-0.001049,0.000884195,0.00233091,-0.0151169
34,0,0.0927902,0.04,-0.001049,0.0011865,0.00247502,-0.0180481
35,0,0.0927952,0.044,-0.001049,0.00131129,0.00259089,-0.0200238
36,0,0.0928003,0.048,-0.001049,0.00115276,0.00267319,-0.0204469
37,0,0.0928054,0.052,-0.001049,0.000558548,0.00271282,-0.018451
38,0,0.0928105,0.056,-0.001049,-0.000462255,0.00269812,-0.013942
39,0,0.0928155,0.06,-0.001049,-0.0014121,0.00260477,-0.00929089
40,0,0.0928206,0.064,-0.001048,-0.00189691,0.00323203,-0.00844422
41,0,0.0928257,0.068,-0.001048,-0.00214104,0.00360115,-0.00865779
42,0,0.0928307,0.072,-0.001048,-0.00225547,0.00386714,-0.00952827
43,0,0.0928358,0.076,-0.001048,-0.00249282,0.00409765,-0.00962022
44,0,0.0928409,0.08,-0.001048,-0.00257717,0.00430911,-0.0104447
45,0,0.0928459,0.084,-0.001048,-0.00252834,0.00450618,-0.0119265
46,0,0.092851,0.088,-0.001048,-0.00238829,0.004689,-0.0138661
47,0,0.0928561,0.092,-0.001048,-0.00222639,0.00485663,-0.0159057
48,0,0.0928612,0.096,-0.001048,-0.00211036,0.00500782,-0.0176889
49,0,0.0928662,0.1,-0.001048,-0.00211196,0.00514093,-0.0188347
50,0,0.0928713,0.104,-0.001048,-0.00229852,0.00525279,-0.0189826
51,0,0.0928764,0.108,-0.001048,-0.00272555,0.00533684,-0.0178236
52,0,0.0928814,0.112,-0.001048,-0.00339875,0.00537874,-0.0152842
53,0,0.0928865,0.116,-0.001048,-0.00420881,0.00534835,-0.0117499
54,0,0.0928916,0.12,-0.001048,-0.00491431,0.00519838,-0.00809286
55,0,0.0928967,0.124,-0.001048,-0.00598946,0.00575059,-0.00373001
56,0,0.0929017,0.128,-0.001048,-0.00719222,0.00610419,0.00149375
57,0,0.0929068,0.132,-0.001048,-0.00818786,0.00638298,0.005637
58,0,0.0929119,0.136,-0.001047,-0.0087835,0.00662943,0.00779791
59,0,0.0929169,0.14,-0.001047,-0.00903135,0.00685707,0.0081803
60,0,0.092922,0.144,-0.001047,-0.00902602,0.00706981,0.00726181
61,0,0.0929271,0.148,-0.001047,-0.00886731,0.00726844,0.00554986
62,0,0.0929321,0.152,-0.001047,-0.00865159,0.00745253,0.00354487
63,0,0.0929372,0.156,-0.001047,-0.008462,0.00762117,0.00168378
64,0,0.0929423,0.16,-0.001047,-0.00837177,0.00777284,0.00035531
65,0,0.0929474,0.164,-0.001047,-0.00844767,0.00790441,-0.0000814288
66,0,0.0929524,0.168,-0.001047,-0.00874361,0.00800971,0.000679372
67,0,0.0929575,0.172,-0.001047,-0.00928447,0.00807677,0.00281691
68,0,0.0929626,0.176,-0.001047,-0.0100134,0.00808235,0.00621114
69,0,0.0929676,0.18,-0.001047,-0.0107652,0.00800293,0.0103307
70,0,0.0929727,0.184,-0.001047,-0.0119085,0.00845884,0.0155539
71,0,0.0929778,0.188,-0.001047,-0.0131476,0.00877943,0.021582
72,0,0.0929828,0.192,-0.001047,-0.0143148,0.0090557,0.0272371
73,0,0.0929879,0.196,-0.001047,-0.0152221,0.00931728,0.0315916
74,0,0.092993,0.2,-0.001047,-0.0158472,0.00957195,0.0344669
75,0,0.0929981,0.204,-0.001046,-0.0162337,0.00982183,0.0360712
76,0,0.0930031,0.208,-0.001046,-0.0164608,0.0100681,0.0367809
77,0,0.0930082,0.212,-0.001046,-0.0165822,0.0103102,0.0368671
78,0,0.0930133,0.216,-0.001046,-0.0166421,0.010547,0.0365485
79,0,0.0930183,0.22,-0.001046,-0.0166933,0.0107768,0.0360946
80,0,0.0930234,0.224,-0.001046,-0.0168058,0.0109969,0.035873
81,0,0.0930285,0.228,-0.001046,-0.0170621,0.011204,0.0363349
82,0,0.0930335,0.232,-0.001046,-0.0175852,0.0113959,0.0381658
83,0,0.0930386,0.236,-0.001046,-0.0185679,0.0115715,0.0423818
84,0,0.0930437,0.24,-0.001046,-0.0199576,0.0117142,0.0490122
85,0,0.0930488,0.244,-0.001046,-0.0215289,0.0118838,0.0564629
86,0,0.0930538,0.248,-0.001046,-0.022862,0.012019,0.0628049
87,0,0.0930589,0.252,-0.001046,-0.0238701,0.0121566,0.0676531
88,0,0.093064,0.256,-0.001046,-0.0246502,0.0122999,0.0714521
89,0,0.093069,0.26,-0.001046,-0.0252784,0.0124501,0.0745734
90,0,0.0930741,0.264,-0.001046,-0.0258085,0.012609,0.0772726
91,0,0.0930792,0.268,-0.001046,-0.0262791,0.012778,0.0797177
92,0,0.0930842,0.272,-0.001046,-0.02671,0.0129576,0.0819759
93,0,0.0930893,0.276,-0.001045,-0.0271173,0.0131471,0.0841025
94,0,0.0930944,0.28,-0.001045,-0.0275415,0.0133463,0.086253
95,0,0.0930995,0.284,-0.001045,-0.0280256,0.0135523,0.0886353
96,0,0.0931045,0.288,-0.001045,-0.028634,0.0137623,0.0915753
97,0,0.021,0.048,0.,-0.00063381,-0.000441143,0.00723419
98,0,0.021,0.052,0.,-0.000742998,-0.000474579,0.00845787
99,0,0.021,0.056,0.,-0.000868281,-0.000507265,0.00976868
100,0,0.021,0.06,0.,-0.00100702,-0.000540615,0.0111651
101,0,0.0250909,0.06,0.,-0.00100602,-0.000360844,0.00992605
102,0,0.0291818,0.06,0.,-0.00100122,-0.000226326,0.00886593
103,0,0.0332727,0.06,0.,-0.00100143,-0.0000928373,0.00794725
104,0,0.0373636,0.06,0.,-0.00100303,0.0000419509,0.00711734
105,0,0.0414545,0.06,0.,-0.00100363,0.000178442,0.00633591
106,0,0.0455455,0.06,0.,-0.00100314,0.000315071,0.005564
107,0,0.0496364,0.06,0.,-0.00100149,0.000451161,0.00476312
108,0,0.0537273,0.06,0.,-0.00099883,0.000584345,0.00389486
109,0,0.0578182,0.06,0.,-0.000999731,0.00071624,0.00292016
110,0,0.0619091,0.06,0.,-0.00101009,0.000852296,0.00179829
111,0,0.066,0.06,0.,-0.00101029,0.00107383,0.000477621
112,0,0.066,0.056,0.,-0.00086847,0.00101084,0.00021666
113,0,0.066,0.052,0.,-0.000744964,0.000947447,0.0000137409
114,0,0.066,0.048,0.,-0.000643473,0.000883245,-0.000136906
115,0,0.0619091,0.048,0.,-0.000632794,0.000848452,0.000854393
116,0,0.0578182,0.048,0.,-0.000614818,0.00072255,0.0016733
117,0,0.0537273,0.048,0.,-0.000608001,0.000587951,0.00235145
118,0,0.0496364,0.048,0.,-0.000606536,0.000451192,0.00292469
119,0,0.0455455,0.048,0.,-0.000605845,0.000315138,0.00343069
120,0,0.0414545,0.048,0.,-0.000605786,0.000178632,0.00390775
121,0,0.0373636,0.048,0.,-0.000606423,0.0000422299,0.00439431
122,0,0.0332727,0.048,0.,-0.000607855,-0.0000944226,0.00492922
123,0,0.0291818,0.048,0.,-0.000612471,-0.000229699,0.00555187
124,0,0.0250909,0.048,0.,-0.000623768,-0.000359963,0.0063111
125,0,0.0250909,0.052,0.,-0.000736549,-0.000359258,0.0075029
126,0,0.0250909,0.056,0.,-0.000863334,-0.000363285,0.00870979
127,0,0.0291818,0.052,0.,-0.000739341,-0.000230602,0.00667706
128,0,0.0291818,0.056,0.,-0.000868503,-0.000226607,0.00778164
