ID,CSys ID,X,Y,Z,"1..Simcenter NASTRAN Case 1, 2..T1 Translation","1..Simcenter NASTRAN Case 1, 3..T2 Translation","1..Simcenter NASTRAN Case 1, 4..T3 Translation"
1,0,0.00073948,0,-0.004286,0,0,0
2,0,0.0044091,0,-0.006009,0,0,0
3,0,0.008281,0,-0.00717,0,0,0
4,0,0.0122628,0,-0.007933,0,0,0
5,0,0.0162841,0,-0.008446,0,0,0
6,0,0.021,0,-0.008771,0,0,0
7,0,0.0243764,0,-0.008985,0,0,0
8,0,0.0284301,0,-0.009026,0,0,0
9,0,0.0324846,0,-0.008933,0,0,0
10,0,0.036537,0,-0.008773,0,0,0
11,0,0.0405835,0,-0.008523,0,0,0
12,0,0.0446254,0,-0.008201,0,0,0
13,0,0.048664,0,-0.007833,0,0,0
14,0,0.0526968,0,-0.007407,0,0,0
15,0,0.0567238,0,-0.006926,0,0,0
16,0,0.0607458,0,-0.006401,0,0,0
17,0,0.0647633,0,-0.005842,0,0,0
18,0,0.0687771,0,-0.005258,0,0,0
19,0,0.0727865,0,-0.00465,0,0,0
20,0,0.076789,0,-0.004,0,0,0
21,0,0.0807851,0,-0.003311,0,0,0
22,0,0.0847751,0,-0.002586,0,0,0
23,0,0.0887598,0,-0.001831,0,0,0
24,0,0.0927395,0,-0.001049,0,0,0
25,0,0.0927445,0.004,-0.001049,-0.000508658,0.000507557,0.000624211
26,0,0.0927496,0.008,-0.001049,-0.00102169,0.000862069,0.00171192
27,0,0.0927547,0.012,-0.001049,-0.00146399,0.00115949,0.00238198
28,0,0.0927598,0.016,-0.001049,-0.00171791,0.00141716,0.00202891
29,0,0.0927648,0.02,-0.001049,-0.00178866,0.00163513,0.000639448
30,0,0.0927699,0.024,-0.001049,-0.00171206,0.00181127,-0.00157541
31,0,0.092775,0.028,-0.001049,-0.00154361,0.00194334,-0.00428588
32,0,0.09278,0.032,-0.001049,-0.00134356,0.00203007,-0.0071236
33,0,0.0927851,0.036,-0.001049,-0.00117668,0.00207124,-0.00969305
34,0,0.0927902,0.04,-0.001049,-0.00111388,0.00206754,-0.0115684
35,0,0.0927952,0.044,-0.001049,-0.00120577,0.00202032,-0.012442
36,0,0.0928003,0.048,-0.001049,-0.00148551,0.00192878,-0.0121105
37,0,0.0928054,0.052,-0.001049,-0.00181567,0.00178623,-0.0113127
38,0,0.0928105,0.056,-0.001049,-0.00231804,0.00154603,-0.00934867
39,0,0.0928155,0.06,-0.001049,-0.00285144,0.00110649,-0.00671882
40,0,0.0928206,0.064,-0.001048,-0.00305326,0.00121079,-0.00439006
41,0,0.0928257,0.068,-0.001048,-0.0032313,0.00126033,-0.00197102
42,0,0.0928307,0.072,-0.001048,-0.00328891,0.0012905,-0.000150033
43,0,0.0928358,0.076,-0.001048,-0.00327595,0.0013119,0.00143557
44,0,0.0928409,0.08,-0.001048,-0.00319814,0.00133522,0.0028253
45,0,0.0928459,0.084,-0.001048,-0.00307839,0.00136538,0.00411589
46,0,0.092851,0.088,-0.001048,-0.00293206,0.00140458,0.00535683
47,0,0.0928561,0.092,-0.001048,-0.00277305,0.00145334,0.00658941
48,0,0.0928612,0.096,-0.001048,-0.00262301,0.00151141,0.00789794
49,0,0.0928662,0.1,-0.001048,-0.00251808,0.00157797,0.00944451
50,0,0.0928713,0.104,-0.001048,-0.0025019,0.00165117,0.0114321
51,0,0.0928764,0.108,-0.001048,-0.00261578,0.00172687,0.0140546
52,0,0.0928814,0.112,-0.001048,-0.00286433,0.00179539,0.0173342
53,0,0.0928865,0.116,-0.001048,-0.00317666,0.00183848,0.0209694
54,0,0.0928916,0.12,-0.001048,-0.00339968,0.00183528,0.0244371
55,0,0.0928967,0.124,-0.001048,-0.00385235,0.00213972,0.0280951
56,0,0.0929017,0.128,-0.001048,-0.00433575,0.00232792,0.0320383
57,0,0.0929068,0.132,-0.001048,-0.00464568,0.00246531,0.0351134
58,0,0.0929119,0.136,-0.001047,-0.00470503,0.00257639,0.0370108
59,0,0.0929169,0.14,-0.001047,-0.00456711,0.00267122,0.0379847
60,0,0.092922,0.144,-0.001047,-0.00430132,0.00275367,0.0383938
61,0,0.0929271,0.148,-0.001047,-0.00397644,0.00282541,0.0385873
62,0,0.0929321,0.152,-0.001047,-0.00365697,0.00288673,0.0388951
63,0,0.0929372,0.156,-0.001047,-0.00339956,0.00293723,0.0396098
64,0,0.0929423,0.16,-0.001047,-0.00325665,0.00297603,0.0410039
65,0,0.0929474,0.164,-0.001047,-0.00327567,0.00300116,0.0433245
66,0,0.0929524,0.168,-0.001047,-0.00349043,0.00300813,0.0467544
67,0,0.0929575,0.172,-0.001047,-0.0038969,0.00298692,0.0512842
68,0,0.0929626,0.176,-0.001047,-0.00438688,0.00291197,0.0564744
69,0,0.0929676,0.18,-0.001047,-0.00477012,0.00273565,0.0615516
70,0,0.0929727,0.184,-0.001047,-0.00527353,0.00306947,0.0668052
71,0,0.0929778,0.188,-0.001047,-0.00581694,0.00326931,0.0722897
72,0,0.0929828,0.192,-0.001047,-0.00623879,0.00341435,0.0771314
73,0,0.0929879,0.196,-0.001047,-0.00642295,0.00353355,0.0808136
74,0,0.092993,0.2,-0.001047,-0.00638499,0.00363503,0.0833971
75,0,0.0929981,0.204,-0.001046,-0.00618606,0.00372133,0.0852091
76,0,0.0930031,0.208,-0.001046,-0.00590597,0.00379437,0.0866586
77,0,0.0930082,0.212,-0.001046,-0.00561202,0.00385387,0.0881073
78,0,0.0930133,0.216,-0.001046,-0.00536422,0.0038995,0.0898753
79,0,0.0930183,0.22,-0.001046,-0.00522183,0.00393026,0.0922798
80,0,0.0930234,0.224,-0.001046,-0.00523952,0.003944,0.0956152
81,0,0.0930285,0.228,-0.001046,-0.00545597,0.00393626,0.100101
82,0,0.0930335,0.232,-0.001046,-0.00587283,0.00389781,0.105768
83,0,0.0930386,0.236,-0.001046,-0.00638819,0.00380435,0.11221
84,0,0.0930437,0.24,-0.001046,-0.00680575,0.00360233,0.118598
85,0,0.0930488,0.244,-0.001046,-0.00733702,0.00392469,0.125281
86,0,0.0930538,0.248,-0.001046,-0.00795252,0.00411198,0.132394
87,0,0.0930589,0.252,-0.001046,-0.00846119,0.00424597,0.138966
88,0,0.093064,0.256,-0.001046,-0.00872982,0.00435546,0.14438
89,0,0.093069,0.26,-0.001046,-0.00876886,0.00444782,0.148669
90,0,0.0930741,0.264,-0.001046,-0.00863856,0.00452594,0.152155
91,0,0.0930792,0.268,-0.001046,-0.00840915,0.00459077,0.155209
92,0,0.0930842,0.272,-0.001046,-0.00815158,0.00464274,0.158211
93,0,0.0930893,0.276,-0.001045,-0.00793071,0.00468097,0.161516
94,0,0.0930944,0.28,-0.001045,-0.00781401,0.00470645,0.165467
95,0,0.0930995,0.284,-0.001045,-0.00785212,0.00471642,0.170346
96,0,0.0931045,0.288,-0.001045,-0.00807911,0.00470652,0.176346
97,0,0.021,0.048,0,-0.00153888,-0.000101229,0.0108073
98,0,0.021,0.052,0,-0.00163647,-0.000106934,0.0125671
99,0,0.021,0.056,0,-0.00171079,-0.000112676,0.0144274
100,0,0.021,0.06,0,-0.00177846,-0.000119165,0.0163827
101,0,0.0250909,0.06,0,-0.00177331,-4.13248E-05,0.0156178
102,0,0.0291818,0.06,0,-0.00176376,1.83649E-05,0.0163558
103,0,0.0332727,0.06,0,-0.00175583,6.45881E-05,0.0181838
104,0,0.0373636,0.06,0,-0.00175139,0.00010017,0.0206365
105,0,0.0414545,0.06,0,-0.00174979,0.00012813,0.0232992
106,0,0.0455455,0.06,0,-0.00175086,0.000150091,0.0257622
107,0,0.0496364,0.06,0,-0.00175463,0.000167857,0.0276166
108,0,0.0537273,0.06,0,-0.00176133,0.000183004,0.0284539
109,0,0.0578182,0.06,0,-0.00177175,0.000199306,0.0278723
110,0,0.0619091,0.06,0,-0.001783,0.000218694,0.0254922
111,0,0.066,0.06,0,-0.00178756,0.000251711,0.0213416
112,0,0.066,0.056,0,-0.00177871,0.00023725,0.019886
113,0,0.066,0.052,0,-0.00176433,0.000223711,0.0183952
114,0,0.066,0.048,0,-0.00170691,0.000209409,0.0168719
115,0,0.0619091,0.048,0,-0.00172313,0.000201707,0.0221289
116,0,0.0578182,0.048,0,-0.00171802,0.000189781,0.0245111
117,0,0.0537273,0.048,0,-0.00170882,0.000175794,0.0248887
118,0,0.0496364,0.048,0,-0.001698,0.000159987,0.0238162
119,0,0.0455455,0.048,0,-0.00168471,0.000142104,0.0217226
120,0,0.0414545,0.048,0,-0.00166872,0.000120089,0.0190199
121,0,0.0373636,0.048,0,-0.00165002,0.000092063,0.0161174
122,0,0.0332727,0.048,0,-0.00162876,5.59858E-05,0.0134245
123,0,0.0291818,0.048,0,-0.00160554,1.11585E-05,0.0113542
124,0,0.0250909,0.048,0,-0.00157912,-4.35339E-05,0.0103594
125,0,0.0250909,0.052,0,-0.00164159,-0.000036624,0.0122774
126,0,0.0250909,0.056,0,-0.00170855,-3.93818E-05,0.0140314
127,0,0.0291818,0.052,0,-0.00165612,1.67342E-05,0.0132555
128,0,0.0291818,0.056,0,-0.00171011,1.98342E-05,0.0149227
129,0,0.0332727,0.052,0,-0.00167024,0.000061818,0.0151713
130,0,0.0332727,0.056,0,-0.00171393,6.46683E-05,0.0167577
131,0,0.0373636,0.052,0,-0.00168319,9.71326E-05,0.017678
